username,pesan,label,label_angka,case_folding,cleaning,hasil_stopwords,tweet_tokens,tweet_stemmer
@bachrum_achmadi,"Dulu saat bangun sirkuit FE para buzzeRp bangke & grombolan ebong dongok tiap hr hujat Anies.

Bgitu FE digelar, lain lg hujatannya, mrk ejek balapan Tamialah, balapan tdk terkenallah, bla bla bla. Nyatanya FE 2023 sukses digelar & Menpar hadir di Podium.

Sakit jiwa klen! ",negatif,-1,"dulu saat bangun sirkuit fe para buzzerp bangke & grombolan ebong dongok tiap hr hujat anies.

bgitu fe digelar, lain lg hujatannya, mrk ejek balapan tamialah, balapan tdk terkenallah, bla bla bla. nyatanya fe 2023 sukses digelar & menpar hadir di podium.

sakit jiwa klen! ",dulu saat bangun sirkuit fe para buzzerp bangke grombolan ebong dongok tiap hr hujat anies bgitu fe digelar lain lg hujatannya mrk ejek balapan tamialah balapan tdk terkenallah bla bla bla nyatanya fe sukses digelar menpar hadir di podium sakit jiwa klen,bangun sirkuit fe buzzerp bangke grombolan ebong dongok hr hujat anies bgitu fe digelar hujatannya mrk ejek balapan tamialah balapan terkenallah bla bla bla fe sukses digelar menpar hadir podium sakit jiwa klen,"['bangun', 'sirkuit', 'fe', 'buzzerp', 'bangke', 'grombolan', 'ebong', 'dongok', 'hr', 'hujat', 'anies', 'bgitu', 'fe', 'digelar', 'hujatannya', 'mrk', 'ejek', 'balapan', 'tamialah', 'balapan', 'terkenallah', 'bla', 'bla', 'bla', 'fe', 'sukses', 'digelar', 'menpar', 'hadir', 'podium', 'sakit', 'jiwa', 'klen']","['bangun', 'sirkuit', 'fe', 'buzzerp', 'bangke', 'grombolan', 'ebong', 'dongok', 'hr', 'hujat', 'anies', 'bgitu', 'fe', 'gelar', 'hujat', 'mrk', 'ejek', 'balap', 'tamialah', 'balap', 'kenal', 'bla', 'bla', 'bla', 'fe', 'sukses', 'gelar', 'menpar', 'hadir', 'podium', 'sakit', 'jiwa', 'klen']"
@qhanniw,"Pak Anies sukses menjadi pemimpin Jakarta terbaik, tetapi tidak pernah sombong",negatif,-1,"pak anies sukses menjadi pemimpin jakarta terbaik, tetapi tidak pernah sombong",pak anies sukses menjadi pemimpin jakarta terbaik tetapi tidak pernah sombong,anies sukses pemimpin jakarta terbaik sombong,"['anies', 'sukses', 'pemimpin', 'jakarta', 'terbaik', 'sombong']","['anies', 'sukses', 'pimpin', 'jakarta', 'baik', 'sombong']"
@ekapuput88,Pak Anies sukses mensejahterakan masyarakat Jakarta,positif,1,pak anies sukses mensejahterakan masyarakat jakarta,pak anies sukses mensejahterakan masyarakat jakarta,anies sukses mensejahterakan masyarakat jakarta,"['anies', 'sukses', 'mensejahterakan', 'masyarakat', 'jakarta']","['anies', 'sukses', 'sejahtera', 'masyarakat', 'jakarta']"
@manaf_ramli,"melahirkan kebijakan-kebijakan yang bisa menyelesaikan masalah macet,” terang Prabowo.

#PrabowoUntukSemua
Prabowo Subianto",positif,1,"melahirkan kebijakan-kebijakan yang bisa menyelesaikan masalah macet,” terang prabowo.

#prabowountuksemua
prabowo subianto",melahirkan kebijakankebijakan yang bisa menyelesaikan masalah macet terang prabowo prabowountuksemua prabowo subianto,melahirkan kebijakankebijakan menyelesaikan macet terang prabowo prabowountuksemua prabowo subianto,"['melahirkan', 'kebijakankebijakan', 'menyelesaikan', 'macet', 'terang', 'prabowo', 'prabowountuksemua', 'prabowo', 'subianto']","['lahir', 'kebijakankebijakan', 'selesai', 'macet', 'terang', 'prabowo', 'prabowountuksemua', 'prabowo', 'subianto']"
@tutura2003yaho1,"Santei uda....
Aku org jateng ajah pilih anies koq",positif,1,"santei uda....
aku org jateng ajah pilih anies koq",santei uda aku org jateng ajah pilih anies koq,santei uda org jateng pilih anies koq,"['santei', 'uda', 'org', 'jateng', 'pilih', 'anies', 'koq']","['santei', 'uda', 'org', 'jateng', 'pilih', 'anies', 'koq']"
@StefanAntonio__,"Sebetulnya SIMPEL sih
Kita TANTANG nih Prabowo

Brani ga dia bikin STATEMENT di PUBLIK
yg menyatakan bahwa dia berani :

1. MELAWAN KELOMPOK INTOLERAN RADIKALIS
2. MENERUSKAN UPAYA PERAMPASAN ASET CENDANA
3. TIDAK MENGHIDUPKAN LAGI HTI, FPI
4. TIDAK MENGEMBALIKAN TAMBANG KE AMRIK",negatif,-1,"sebetulnya simpel sih
kita tantang nih prabowo

brani ga dia bikin statement di publik
yg menyatakan bahwa dia berani :

1. melawan kelompok intoleran radikalis
2. meneruskan upaya perampasan aset cendana
3. tidak menghidupkan lagi hti, fpi
4. tidak mengembalikan tambang ke amrik",sebetulnya simpel sih kita tantang nih prabowo brani ga dia bikin statement di publik yg menyatakan bahwa dia berani melawan kelompok intoleran radikalis meneruskan upaya perampasan aset cendana tidak menghidupkan lagi hti fpi tidak mengembalikan tambang ke amrik,simpel tantang prabowo brani statement publik berani melawan kelompok intoleran radikalis meneruskan upaya perampasan aset cendana menghidupkan hti fpi mengembalikan tambang amrik,"['simpel', 'tantang', 'prabowo', 'brani', 'statement', 'publik', 'berani', 'melawan', 'kelompok', 'intoleran', 'radikalis', 'meneruskan', 'upaya', 'perampasan', 'aset', 'cendana', 'menghidupkan', 'hti', 'fpi', 'mengembalikan', 'tambang', 'amrik']","['simpel', 'tantang', 'prabowo', 'brani', 'statement', 'publik', 'berani', 'lawan', 'kelompok', 'intoleran', 'radikal', 'terus', 'upaya', 'ampas', 'aset', 'cendana', 'hidup', 'hti', 'fpi', 'kembali', 'tambang', 'amrik']"
,Pak Anies ahli menangani masalah di Jakarta,netral,0,pak anies ahli menangani masalah di jakarta,pak anies ahli menangani masalah di jakarta,anies ahli menangani jakarta,"['anies', 'ahli', 'menangani', 'jakarta']","['anies', 'ahli', 'tangan', 'jakarta']"
@abu_waras,"Jadi gini, nanti setiap apa yang sudah dibangun Anies akan dinyatakan tidak standar lalu dilakukan renovasi, setelah itu dilakukan gunting pita ulang agar terlihat bahwa bapak itulah yang menjadi sosok Bapak Pembangunannya. 
Iya engga sih?",netral,0,"jadi gini, nanti setiap apa yang sudah dibangun anies akan dinyatakan tidak standar lalu dilakukan renovasi, setelah itu dilakukan gunting pita ulang agar terlihat bahwa bapak itulah yang menjadi sosok bapak pembangunannya. 
iya engga sih?",jadi gini nanti setiap apa yang sudah dibangun anies akan dinyatakan tidak standar lalu dilakukan renovasi setelah itu dilakukan gunting pita ulang agar terlihat bahwa bapak itulah yang menjadi sosok bapak pembangunannya iya engga sih,dibangun anies dinyatakan standar renovasi gunting pita ulang sosok pembangunannya iya,"['dibangun', 'anies', 'dinyatakan', 'standar', 'renovasi', 'gunting', 'pita', 'ulang', 'sosok', 'pembangunannya', 'iya']","['bangun', 'anies', 'nyata', 'standar', 'renovasi', 'gunting', 'pita', 'ulang', 'sosok', 'bangun', 'iya']"
,Anies peka akan kondisi pendidikan di Indonesia,positif,1,anies peka akan kondisi pendidikan di indonesia,anies peka akan kondisi pendidikan di indonesia,anies peka kondisi pendidikan indonesia,"['anies', 'peka', 'kondisi', 'pendidikan', 'indonesia']","['anies', 'peka', 'kondisi', 'didik', 'indonesia']"
@carboxcarbo,Pak Anies ahli dalam memberikan memotivasi,positif,1,pak anies ahli dalam memberikan memotivasi,pak anies ahli dalam memberikan memotivasi,anies ahli memotivasi,"['anies', 'ahli', 'memotivasi']","['anies', 'ahli', 'motivasi']"
@Dennysiregar7,"Ibarat saham, Anies itu saham gocapan. Susah naiknya kecuali digoreng bandar...",negatif,-1,"ibarat saham, anies itu saham gocapan. susah naiknya kecuali digoreng bandar...",ibarat saham anies itu saham gocapan susah naiknya kecuali digoreng bandar,saham anies saham gocapan susah naiknya kecuali digoreng bandar,"['saham', 'anies', 'saham', 'gocapan', 'susah', 'naiknya', 'kecuali', 'digoreng', 'bandar']","['saham', 'anies', 'saham', 'gocap', 'susah', 'naik', 'kecuali', 'goreng', 'bandar']"
@yumiiyummyy_,Anies sukses memperbaiki sistem kesehatan di Jakarta ya,positif,1,anies sukses memperbaiki sistem kesehatan di jakarta ya,anies sukses memperbaiki sistem kesehatan di jakarta ya,anies sukses memperbaiki sistem kesehatan jakarta,"['anies', 'sukses', 'memperbaiki', 'sistem', 'kesehatan', 'jakarta']","['anies', 'sukses', 'baik', 'sistem', 'sehat', 'jakarta']"
@purw73,"Anies Baswedan sang cucu pahlawan Nasional Indonesia membangun JIS u Persija , karya  % anak bangsa tanpa ngutang.",positif,1,"anies baswedan sang cucu pahlawan nasional indonesia membangun jis u persija , karya  % anak bangsa tanpa ngutang.",anies baswedan sang cucu pahlawan nasional indonesia membangun jis  persija karya anak bangsa tanpa ngutang,anies baswedan sang cucu pahlawan nasional indonesia membangun jis persija karya anak bangsa ngutang,"['anies', 'baswedan', 'sang', 'cucu', 'pahlawan', 'nasional', 'indonesia', 'membangun', 'jis', 'persija', 'karya', 'anak', 'bangsa', 'ngutang']","['anies', 'baswedan', 'sang', 'cucu', 'pahlawan', 'nasional', 'indonesia', 'bangun', 'jis', 'persija', 'karya', 'anak', 'bangsa', 'ngutang']"
@BubutMotor,Salahnya pak anies apa sih? Apa lu sakit hati gara2 jagoan lu kalah pilkada?,netral,0,salahnya pak anies apa sih? apa lu sakit hati gara2 jagoan lu kalah pilkada?,salahnya pak anies apa sih apa lu sakit hati gara jagoan lu kalah pilkada,salahnya anies sakit hati gara jagoan kalah pilkada,"['salahnya', 'anies', 'sakit', 'hati', 'gara', 'jagoan', 'kalah', 'pilkada']","['salah', 'anies', 'sakit', 'hati', 'gara', 'jago', 'kalah', 'pilkada']"
@bachrum_achmadi,"Dulu awal ditangkap heboh kali, seolah Johnny G Plate korupsi rugikan negara 8 triliun.

Makin ke sini, ternyata Plate diduga memperkaya diri 17.8 miliar. Pdhl yg diterima pihak lainnya jauh lbh bsr.

Heboh krn Plate dr NasDem parte pendukung Anies. Kolam jd bergemuruh!",negatif,-1,"dulu awal ditangkap heboh kali, seolah johnny g plate korupsi rugikan negara 8 triliun.

makin ke sini, ternyata plate diduga memperkaya diri 17.8 miliar. pdhl yg diterima pihak lainnya jauh lbh bsr.

heboh krn plate dr nasdem parte pendukung anies. kolam jd bergemuruh!",dulu awal ditangkap heboh kali seolah johnny  plate korupsi rugikan negara triliun makin ke sini ternyata plate diduga memperkaya diri miliar pdhl yg diterima pihak lainnya jauh lbh bsr heboh krn plate dr nasdem parte pendukung anies kolam jd bergemuruh,ditangkap heboh kali johnny plate korupsi rugikan negara triliun plate diduga memperkaya miliar diterima lbh bsr heboh plate dr nasdem parte pendukung anies kolam bergemuruh,"['ditangkap', 'heboh', 'kali', 'johnny', 'plate', 'korupsi', 'rugikan', 'negara', 'triliun', 'plate', 'diduga', 'memperkaya', 'miliar', 'diterima', 'lbh', 'bsr', 'heboh', 'plate', 'dr', 'nasdem', 'parte', 'pendukung', 'anies', 'kolam', 'bergemuruh']","['tangkap', 'heboh', 'kali', 'johnny', 'plate', 'korupsi', 'rugi', 'negara', 'triliun', 'plate', 'duga', 'kaya', 'miliar', 'terima', 'lbh', 'bsr', 'heboh', 'plate', 'dr', 'nasdem', 'parte', 'dukung', 'anies', 'kolam', 'gemuruh']"
@Abeng1204,Sebarkan. Biar buzer makin kejang2 lht anies semakin populer dgn karya2 nya ,positif,1,sebarkan. biar buzer makin kejang2 lht anies semakin populer dgn karya2 nya ,sebarkan biar buzer makin kejang lht anies semakin populer dgn karya nya,sebarkan buzer kejang lht anies populer karya,"['sebarkan', 'buzer', 'kejang', 'lht', 'anies', 'populer', 'karya']","['sebar', 'buzer', 'kejang', 'lht', 'anies', 'populer', 'karya']"
@jaa63300,Pak Anies peka dan jadi sosok pemimpin yang dekat dengan rakyat.,netral,0,pak anies peka dan jadi sosok pemimpin yang dekat dengan rakyat.,pak anies peka dan jadi sosok pemimpin yang dekat dengan rakyat,anies peka sosok pemimpin rakyat,"['anies', 'peka', 'sosok', 'pemimpin', 'rakyat']","['anies', 'peka', 'sosok', 'pimpin', 'rakyat']"
@bachrum_achmadi,"JIS itu trmsk stadion yg blm lama selesai, tp bangunan utamanya sdh selesai.

Klopun ada kekurangan infrastruktur wajar, apalagi skrg sdg on progress.

Tp klo JIS dicap tdk memenuhi standar, fix itu krn efek politik kebencian & kedengkian ke Anies! ",negatif,-1,"jis itu trmsk stadion yg blm lama selesai, tp bangunan utamanya sdh selesai.

klopun ada kekurangan infrastruktur wajar, apalagi skrg sdg on progress.

tp klo jis dicap tdk memenuhi standar, fix itu krn efek politik kebencian & kedengkian ke anies! ",jis itu trmsk stadion yg blm lama selesai tp bangunan utamanya sdh selesai klopun ada kekurangan infrastruktur wajar apalagi skrg sdg on progress tp klo jis dicap tdk memenuhi standar fix itu krn efek politik kebencian kedengkian ke anies,jis trmsk stadion blm selesai bangunan utamanya selesai klopun kekurangan infrastruktur wajar sdg on progress jis dicap memenuhi standar fix efek politik kebencian kedengkian anies,"['jis', 'trmsk', 'stadion', 'blm', 'selesai', 'bangunan', 'utamanya', 'selesai', 'klopun', 'kekurangan', 'infrastruktur', 'wajar', 'sdg', 'on', 'progress', 'jis', 'dicap', 'memenuhi', 'standar', 'fix', 'efek', 'politik', 'kebencian', 'kedengkian', 'anies']","['jis', 'trmsk', 'stadion', 'blm', 'selesai', 'bangun', 'utama', 'selesai', 'klopun', 'kurang', 'infrastruktur', 'wajar', 'sdg', 'on', 'progress', 'jis', 'cap', 'penuh', 'standar', 'fix', 'efek', 'politik', 'benci', 'dengki', 'anies']"
@fenjuls,Kebijakan Anies sukses dalam mendukung pendidikan gratis di Jakarta,positif,1,kebijakan anies sukses dalam mendukung pendidikan gratis di jakarta,kebijakan anies sukses dalam mendukung pendidikan gratis di jakarta,kebijakan anies sukses mendukung pendidikan gratis jakarta,"['kebijakan', 'anies', 'sukses', 'mendukung', 'pendidikan', 'gratis', 'jakarta']","['bijak', 'anies', 'sukses', 'dukung', 'didik', 'gratis', 'jakarta']"
@alfianrahmat4,"Gatot gak nambah suara Anies Pak. Pemilihnya udah sama. Anies harus cari orang Jatim. Khofifah kyknya takut boroknya dibuka rezim. Kabur dia. AHY, cuma Nasdem enggak mau.",negatif,-1,"gatot gak nambah suara anies pak. pemilihnya udah sama. anies harus cari orang jatim. khofifah kyknya takut boroknya dibuka rezim. kabur dia. ahy, cuma nasdem enggak mau.",gatot gak nambah suara anies pak pemilihnya udah sama anies harus cari orang jatim khofifah kyknya takut boroknya dibuka rezim kabur dia ahy cuma nasdem enggak mau,gatot nambah suara anies pemilihnya anies cari orang jatim khofifah kyknya takut boroknya dibuka kabur ahy nasdem,"['gatot', 'nambah', 'suara', 'anies', 'pemilihnya', 'anies', 'cari', 'orang', 'jatim', 'khofifah', 'kyknya', 'takut', 'boroknya', 'dibuka', 'kabur', 'ahy', 'nasdem']","['gatot', 'nambah', 'suara', 'anies', 'pilih', 'anies', 'cari', 'orang', 'jatim', 'khofifah', 'kyknya', 'takut', 'borok', 'buka', 'kabur', 'ahy', 'nasdem']"
@chxores,"Keren bgt yaa, pak anies ahli dalam hal mencerdaskan anak bangsa",positif,1,"keren bgt yaa, pak anies ahli dalam hal mencerdaskan anak bangsa",keren bgt yaa pak anies ahli dalam hal mencerdaskan anak bangsa,keren yaa anies ahli mencerdaskan anak bangsa,"['keren', 'yaa', 'anies', 'ahli', 'mencerdaskan', 'anak', 'bangsa']","['keren', 'yaa', 'anies', 'ahli', 'cerdas', 'anak', 'bangsa']"
@gmautaugtaumau,Anies sukses setiap menjadi pemimpin,positif,1,anies sukses setiap menjadi pemimpin,anies sukses setiap menjadi pemimpin,anies sukses pemimpin,"['anies', 'sukses', 'pemimpin']","['anies', 'sukses', 'pimpin']"
@NuelMend,"Buzzer Anies pada diam,tdk mau lg menyinggung setelah terbongkar malah buzzer-buzzer Anies mulai menggiring opini lain untuk pengalihan isu,semoga rakyat yg mendukung Anies selama ini terbuka mata bahwa Anies capres pembohong,penipu.",negatif,-1,"buzzer anies pada diam,tdk mau lg menyinggung setelah terbongkar malah buzzer-buzzer anies mulai menggiring opini lain untuk pengalihan isu,semoga rakyat yg mendukung anies selama ini terbuka mata bahwa anies capres pembohong,penipu.",buzzer anies pada diamtdk mau lg menyinggung setelah terbongkar malah buzzerbuzzer anies mulai menggiring opini lain untuk pengalihan isusemoga rakyat yg mendukung anies selama ini terbuka mata bahwa anies capres pembohongpenipu,buzzer anies diamtdk menyinggung terbongkar buzzerbuzzer anies menggiring opini pengalihan isusemoga rakyat mendukung anies terbuka mata anies capres pembohongpenipu,"['buzzer', 'anies', 'diamtdk', 'menyinggung', 'terbongkar', 'buzzerbuzzer', 'anies', 'menggiring', 'opini', 'pengalihan', 'isusemoga', 'rakyat', 'mendukung', 'anies', 'terbuka', 'mata', 'anies', 'capres', 'pembohongpenipu']","['buzzer', 'anies', 'diamtdk', 'singgung', 'bongkar', 'buzzerbuzzer', 'anies', 'giring', 'opini', 'alih', 'isusemoga', 'rakyat', 'dukung', 'anies', 'buka', 'mata', 'anies', 'capres', 'pembohongpenipu']"
@zabilaaaa,Program MRT Anies sukses membantu rakyat banget loh,positif,1,program mrt anies sukses membantu rakyat banget loh,program mrt anies sukses membantu rakyat banget loh,program mrt anies sukses membantu rakyat,"['program', 'mrt', 'anies', 'sukses', 'membantu', 'rakyat']","['program', 'mrt', 'anies', 'sukses', 'bantu', 'rakyat']"
@scraspe,Pak Anies ahli dan sangat responsif ya dengan permasalahan rakyat,positif,1,pak anies ahli dan sangat responsif ya dengan permasalahan rakyat,pak anies ahli dan sangat responsif ya dengan permasalahan rakyat,anies ahli responsif permasalahan rakyat,"['anies', 'ahli', 'responsif', 'permasalahan', 'rakyat']","['anies', 'ahli', 'responsif', 'masalah', 'rakyat']"
