Username,Tweet,Negative Count,Positive Count,Label
goentz1,"""Semua sejarah besar dibuat oleh anak-anak muda ingat itu saudara-saudara, anak muda jangan ragu tampil, terima kasih.”

#KitaSemuaBetsatu
Prabowo Subianto https://t.co/XjDKIKi5Am",2,0,Negative
SahLeoSin,"@ZainAris Sudah diduga, akhirnya akan seperti 2014 dan 2019. Keras dan sengit. Namun pemenang sudah pasti yg didukung mayoritas rakyat waras, KEBERLANJUTAN kinerja @jokowi yaitu @ganjarpranowo 
🤟🤟",0,1,Positive
Bakhjatul,@brother_djon Bisa gak ya si Raja bokep seperti Anies Baswedan naik haji di undang kerajaan Arab Saudi,1,2,Positive
alqodrifaqih,@HadiWibisono10 @SomarwaneSefnat @aniesbaswedan 🤣,0,0,Neutral
Mahardika9036,"Prabowo Subianto tak jelas, tak punya prestasi selama jadi menhan https://t.co/HF00VGXg9W",0,1,Positive
Bersayapamanah,"Pak jokowi ingatkan Prabowo DKK Jangan beli alusista dengan teknologi usang

#bukanprabowopresiden
#tolakprabowosubianto
#PrabowoJahat 
#PrabowoSubianto https://t.co/2oN85RilZG",2,0,Negative
goentz1,"Hal itu disampaikan oleh Peabowo di hadapan ribuan kader PMII saat dirinya hendak pamit usai memberikan sambutan di harlah PPMI. 

#KitaSemuaBetsatu
Prabowo Subianto https://t.co/4QRrn4iHSW",0,0,Neutral
FirmanSentosa22,@kompascom Sampeyan @ganjarpranowo iku gubernur Jateng opo juragan NKRI?,0,0,Neutral
budi11122233,"Yang model beginian mau memimpin negara, mana cocok!! Turu mase turu

#PrabowoSubianto #Prabowo #Prabowo2024 #TolakPrabowo https://t.co/hBQrG1egmt",0,0,Neutral
goentz1,"""Kita perlu anak-anak muda yang berani tampil untuk bekerja supaya kita bisa tembus menjadi negara makmur, 

#KitaSemuaBersatu 
Prabowo Subianto",0,2,Positive
GunawanBaraPgd,@TLPS08 @prabowo @aniesbaswedan @ganjarpranowo @Alie_Fahnoor @AlmaghribiS @anaktermudaa @BANGSAygSUJUD @Bank_Joee_ @bengkeldodo @Ndons_Back @KhoirilAnwar_ @yoyokdenbagoes Khayalan yang menghibur,0,1,Positive
Johan96484660,@StefanAntonio__ @aniesbaswedan Inilah kebohongan terhebat sejagat raya https://t.co/bZA0m9UF8t,1,1,Neutral
dedy_gl100,"Anies Baswedan telah melakukan pembohongan publik dan memanfaatkan ibadah suci Haji sebagai sarana politik keagamaan

#TolakAnies
#AniesGagal #AniesBaswedan #AniesAnjlok https://t.co/bhGLdWd0GL",2,2,Neutral
Muhammadsofial1,@Agusrantesa @LekMarteg @ganjarpranowo Itu kan pas hari libur kerja drunnnnn,0,1,Positive
Yana_Cianjur,"@martajasa0811 @Metro_TV @ganjarpranowo @aniesbaswedan Nasdem,PKS dan demokrat ormas ya  bukan Partai ,",1,0,Negative
finaayunii,@Ganjaran_app @ganjarpranowo Meria sekali acara ya dan semogah relawan bapak ganjar terus kompak.,0,1,Positive
goentz1,"Menteri Pertahanan Prabowo Subianto mendorong para mahasiswa agar menjadi generasi muda yang berani, inovatif serta mampu menguasai ilmu pengetahuan dan teknologi. 

#KitaSemuaBersatu 
Prabowo Subianto https://t.co/iZeYX8oRZj",0,3,Positive
kacaspion__,@Metro_TV @ganjarpranowo @aniesbaswedan Yang bingung itu si Surya 🤣🤣🤣,1,0,Negative
AnthonyLuhulim4,"@Metro_TV @ganjarpranowo @aniesbaswedan Ganjar bingung karena Pendampingnya semua keren, kalau Anies belum dapat pendamping karena semua ndak mau jadi pendamping Anies kecuali Anak baru belajar AHY.",1,1,Neutral
AzikinFaizhal,"@aniesbaswedan @feryfarhati Alhamdulillah semoga jadi haji yg mabrur dan menjadi Presiden RI tahun 2024
Aamiin",0,3,Positive
e100ss,"Prabowo hingga Ganjar Pranowo Melayat ke Kediaman Desmond Mahesa
https://t.co/sS5e6TwuYp",0,0,Neutral
seirraanc,@Ganjaran_app @ganjarpranowo Ayo didownload jangan lupaa,1,1,Neutral
wandystjk2,"Menteri Pertahanan Prabowo Subianto menyebut Wali Kota Solo Gibran Rakabuming Raka sebagai pemimpin masa depan. 

Saya sih Yes 👍
Gibran Pemimpin Masa depan👍
https://t.co/eM0en3Wi1I",0,0,Neutral
HariSuwondoSug1,@ganjarpranowo Eneg banget,1,1,Neutral
youl_af,"@Metro_TV @ganjarpranowo @aniesbaswedan Bisa jadi gak Ada Yang mau jadi wakil dia, kartu mati !!!",2,1,Negative
Syapran_s,"@Metro_TV @ganjarpranowo @aniesbaswedan Sudah dapat cawapresnya, Kades WADAS",0,0,Neutral
UyokBack,Sampeyan KTP mana @ganjarpranowo ?,0,0,Neutral
Bersayapamanah,"Anggota DPR Kritik Prabowo Beli Mirage Bekas

#bukanprabowopresiden
#tolakprabowosubianto
#PrabowoJahat 
#PrabowoSubianto https://t.co/nT31EtdJMC",1,0,Negative
putri_lave,"Anies Baswedan telah melakukan pembohongan publik dan memanfaatkan ibadah suci Haji sebagai sarana politik keagamaan

#TolakAnies
#AniesGagal #AniesBaswedan #AniesAnjlok https://t.co/1Miu90PB4L",2,2,Neutral
goentz1,"Selaras dengan hal tersebut, Prabowo juga turut mendorong mahasiswa untuk berpesan dalam upaya negara memanfaatkan bonus demografi yang akan dicapai oleh Indonesia. 

#KitaSemuaBersatu 
Prabowo Subianto",0,5,Positive
AAldhiaz,"Ini hny salah satu Perusahaan korban tanggul jebol di kawasan Lamicitra Pel.Tanjung Mas SMRNG,krn keteledoran dan ketidakbecusan Gub. @ganjarpranowo,ribuan karyawan hrs kehilangan pekerjaan,smgo ini menjadi perhatian GP selaku pemimpin Jateng.
Luna Maya.
Kabar Duka 
Kecolongan. https://t.co/UcfGFaMJd3",5,1,Negative
goentz1,"Ia melanjutkan, dengan karakter tersebut maka para mahasiswa bisa menjadi tokoh-tokoh nasional yang kelak mampu membawa perubahan dan membantu Indonesia menuju kemakmuran. 

#KitaSemuaBersatu 
Prabowo Subianto https://t.co/Egi145ay1c",0,3,Positive
Info_parlemen,"PROJO Sulawesi Utara dukung Prabowo-Airlangga sebagai pasangan capres-cawapres di Pilpres 2024 mendatang

#AirlanggaHartarto #golkarindonesia #Pemilu2024 #Capres2024 #Pilpres2024 #pemiluserentak2024 #PrabowoSubianto #Golkar https://t.co/u7UaxKXzxJ",0,1,Positive
UmarPat09956771,"Waduh pak prabowo gimana nih 
#prabowosubianto https://t.co/7iKymrbl9F",1,0,Negative
blackadenium,"#GanjarBuatRIJauhLebihBaik
#PilihGanjarDemiKemajuanRI #SahabatGanjar #GanjarPranowo #Ganjar #MEnangkanGAnjar #GenerasiGotongRoyong https://t.co/hYm0dgjEvV",0,0,Neutral
Gembelengaan,@allkacruuut @Metro_TV @ganjarpranowo @aniesbaswedan Nyungsep.. https://t.co/q9IyyuP5hX,0,0,Neutral
yonifree,@Mdy_Asmara1701 @aniesbaswedan Ibadah haji tergantung niatnya ... cekrreeek 📸,0,1,Positive
Kayakuwek,"@franxvvv @ch_chotimah2 @Munir_Timur @ganjarpranowo Lu baca user name gw, gw asli jateng.. gk sebanding jakarta 1 periode dgn semarang 2 periode... gk usah sejateng. Lu org mn jer ?🖕🖕🖕 https://t.co/fmRjaQPTdU",1,0,Negative
Mayapada0812,@Melpi72 @choymarkochoy @makhluk_62 @MuhiqR @abylio_sidiq @a_rogansi @PramukhtikoS @Okta_Roza @Dunianyasantai @DE_Sapta5 @_qaireen084 @NohCeukenohhh @AnKiiim_ @aniesbaswedan Berisik lu https://t.co/TaJH0DLC0h,1,0,Negative
Luthfi_nashrul,@sarah_enjeuLL @aniesbaswedan Efek suka Halu,0,1,Positive
andri220707,@Yunar69 Kirain Anies Baswedan...Capres Yg Di Dukung Ratusan Juta Penduduk Indonesia 🤭,0,1,Positive
kanalperspektif,"Hingga saat ini, nama-nama besar seperti Prabowo Subianto, Anies Baswedan dan Ganjar Pranowo mendominasi bursa pilpres 2024 itu.",0,1,Positive
goentz1,"Hadiri Harlah ke-63 PMII, Prabowo Dorong Mahasiswa untuk Berani dan Kuasai Ilmu Pengetahuan

#KitaSemuaBersatu 
Prabowo Subianto https://t.co/fWbHvFA8gO",0,2,Positive
aksaraku_,"Sangat gagah sekali bapak Ganjar Pranowo lengkap dengan kopiah hitam dan baju merah menunjukan semangat yang membara  #K3palkanTanganPersatuan
Untuk Indonesia Raya https://t.co/D3lb6XpXCO",1,3,Positive
NanangsbB,@loveniey @marlina_idha @aniesbaswedan Pertanyaanmu ada unsur nyinyir,1,0,Negative
goentz1,"Prabowo pun sempat menyebut bahwa sejarah besar dibuat oleh anak-anak muda. 

#KitaSemuaBetsatu
Prabowo Subianto",0,0,Neutral
dedy_gl100,"Anies Baswedan telah melakukan pembohongan publik dan memanfaatkan ibadah suci Haji sebagai sarana politik keagamaan

#TolakAnies
#AniesGagal #AniesBaswedan #AniesAnjlok https://t.co/26dckjTqj8",2,2,Neutral
Gembelengaan,@allkacruuut @Metro_TV @ganjarpranowo @aniesbaswedan Nyungsep.. https://t.co/q9IyyuP5hX,0,0,Neutral
goentz1,"""Mas Wali saya ingin pamit, ini pemimpin hari ini dan pemimpin masa depan,"" kata Prabowo di hadapan massa PMII yang hadir di Benteng Vastenburg, Solo, Jumat (23/6/2023).

#KitaSemuaBetsatu
Prabowo Subianto https://t.co/U3eIAz8Pr9",0,0,Neutral
SuYanto62349697,@ch_chotimah2 @Munir_Timur @ganjarpranowo Otakmu iku sg gawe en wong jateng provinsi termiskin kok nyolot,1,0,Negative
CapresAbadi1998,Diluar Nalar dan tak masuk akal sosok Prabowo Subianto https://t.co/KVJd1Uvpwe,0,0,Neutral
adt_twxtr,"Diantara #GanjarPranowo dan #AniesBaswedan gak ada yang aku pilih. Boleh gak sih Pak #MahfudMD dan #Ahok saja 100% aku pilih.

Karna #prabowosubianto masi 50% hatiku ke beliau.

Pak #Jokowi mohon petunjuk🙏🏻",2,0,Negative
franxvvv,@Metro_TV @ganjarpranowo @aniesbaswedan Persaingan ketat ada di ganjar dan prabowo saja👇🙄 https://t.co/YwKnYU1dGH,0,0,Neutral
Jelli_cent,@julius73890 @ganjarpranowo Amin 🙏,0,0,Neutral
haleakbar,@TeddGus @aniesbaswedan @dennyindrayana diteruskan ke kejagung saja coba. biar kita liat gmn huwa ksatria si deni inn ini,0,0,Neutral
hapusingatanku,@Heraloebss @prabowo @aniesbaswedan @ganjarpranowo @jokowi Nunggu debat capres &amp; tim ekonomi yg dibawa pas kampanye... dr situ baru bisa milih mana yg sesuai kriteria...,0,2,Positive
MarshaAja7,Diluar nalar dan tak masuk akal sosok Prabowo Subianto. https://t.co/SKFpyO2TzY,0,0,Neutral
UMKMTalaga,"@Kayakuwek @StefanAntonio__ @iyo_azza @jokowi @mohmahfudmd @YaqutCQoumas @ganjarpranowo Laaaah
Suka suka saya dong..
emang gua main di lapak kumu 😂😂😂

Ha ha ha ha pentil curut",1,2,Positive
eddy_dang,"@Heraloebss @prabowo @aniesbaswedan @ganjarpranowo @jokowi saya tidak pilih Ganjar karena ada indikasi e-KTP dan masih absurd jawabannya saat kick Andy shows, kasus Wadas juga mengerikan &amp;dia mengakui dulu tdk care lingkungan (program eceng gondok), baru setelah dr Belanda paham, ekspos dirinya suka nonton film porno😁dia gubernur loh😁",4,2,Negative
goentz1,"Prabowo memanggil Gibran untuk berpamitan seraya merangkulnya dan menyebut Gibran adalah pemimpin hari ini dan nantinya akan menjadi pemimpin masa depan.

#KitaSemuaBetsatu
Prabowo Subianto https://t.co/oDTP4R9Syf",0,1,Positive
dekade_08,"Kira-kira Pak Prabowo bakal datang gak ya gaes? 🤔

#prabowo #prabowosubianto #mendingprabowo #terusmajubersamaprabowo #dekade08 #kaesang https://t.co/FcfiWcslD0",1,0,Negative
dekade_08,"Kepemimpinan Prabowo efektif, karena dia lihai melihat potensi dan kemampuan SDM kita. 

#prabowo #prabowosubianto #dekade08 #mendingprabowo #terusmajubersamaprabowo https://t.co/gETkdpCofb",0,2,Positive
AdrianaDaneen,Prabowo Sebut Dunia Kagumi Keberhasilan Pemerintahan Jokowi Kendalikan Inflasi - https://t.co/uQomZoHOHk #prabowo #prabowosubianto https://t.co/G35KyAZz6c,1,1,Neutral
kompasmuda,"Ketua Umum Gerindra Prabowo Subianto kembali menerima sambutan hangat dari sukarelawan pendukung Wali Kota Surakarta Gibran Rakabuming Raka. Namun, Gibran mengaku tak memberi arahan kepada sukarelawannya. #Nusantara #AdadiKompas #Kompas58

https://t.co/OACvdabnMs",0,3,Positive
DjumalP,@Lembayung071 @ganjarpranowo Majulah indonesiaku,0,0,Neutral
prabowomenyapa8,"Kepemimpinan Prabowo Efektif, Karena Dia Lihai Melihat Potensi dan Kemampuan SDM Kita #Prabowo #PrabowoSubianto https://t.co/mLYMIDxupv",0,2,Positive
AeffSatria,"@Sukardi2017 @aniesbaswedan Aneh nih orang, wong berdo'a ko disalahkan.. Anda aja kalau mau nyalon ketua RT pasti berdo'a pengen kepilih..",1,0,Negative
Lembayung071,"Sucseskan Pildun U-17 jangan ada lagi yang memupus mimpi anak bangsa .....kepak sayap Garuda Mendunia
@ganjarpranowo
#GarudaMendunia https://t.co/Klg2qw08Er",1,0,Negative
kacaspion__,@NenkMonica Lebih setuju @aniesbaswedan itu GOBLOG Neng 🤣🤣🤣🤣,0,1,Positive
Jens_alfaqir,"@sarah_enjeuLL @aniesbaswedan Goblok jangan kebangetan!!
Masa mobil sewaan ada lambang KSA nya!! 🙈",2,0,Negative
momotaro7106,@Hypatia212 @Heraloebss @prabowo @aniesbaswedan @ganjarpranowo @jokowi https://t.co/GlKHgruz3p,0,0,Neutral
budi11122233,"Yang model beginian mau memimpin negara, mana cocok!! Turu mase turu

#PrabowoSubianto #Prabowo #Prabowo2024 #TolakPrabowo https://t.co/gaYzhVvYWi",0,0,Neutral
wakyal75,@Cozillar_Reborn @Metro_TV @ganjarpranowo @aniesbaswedan Suara yg keluar dgn gerak bibir nya sangat berbeda...😂,0,1,Positive
Muh_N_UD,"@Arietakduts @Metro_TV @ganjarpranowo @aniesbaswedan Kau lg membahas tukang survey abal² yg kasi hasil sesuai pesanan?
Cebong paok!!!",0,1,Positive
sarah_enjeuLL,@Jens_alfaqir @aniesbaswedan huahhahahaha kelihatan ga pernah ke arab lu jing,1,0,Negative
MARQUEZ__93,"@BMultinovic @ganjarpranowo @ekokuntadhi1 @ch_chotimah2 @Narasi_winda @KakekHalal Loe habis ngetag gue kok diam sih setelah di beri bukti 
https://t.co/57bNCqklP2",1,1,Neutral
siharprompt8,"@Naz_lira @Dennysiregar7 @ganjarpranowo ""memanfaatkan moment politik utk manatik (menarik) simpati umat"".Ini statemen yg mengerikan, artinya ""ayah Prabowo"" akan memanfaatkan situasi apapn yg menguntungkan dirinya. Gambaran""ayah Prabowo""tidak mempunyai prinsip dan atau pendirian. Dia perduli hanya utk yg menguntungkanya",2,3,Positive
haelamarie,"Prabowo Subianto Tiba di Rumah Duka Desmond, Gerindra Kehilangan Salah Satu Kader Terbaiknya - Okezone Video #Prabowo #BangkitBersama https://t.co/8db7nlNNk0",3,1,Negative
blackadenium,"#GanjarBuatRIJauhLebihBaik
#PilihGanjarDemiKemajuanRI #SahabatGanjar #GanjarPranowo #Ganjar #MEnangkanGAnjar #GenerasiGotongRoyong https://t.co/j7iOzq4rOw",0,0,Neutral
rmbantencom,"Kenang Desmond, Prabowo Subianto: Aktivis Yang Sangat Besar Bekerja Membangun Partai Gerindra @prabowo @Gerindra https://t.co/zEzNQhqdOv",0,2,Positive
bostambang_,Pak @ganjarpranowo ini masih di Jateng juga😭 bantu rakyatmu Pak Ganjar,0,1,Positive
tangselupdates,Menhan Prabowo Subianto Wakili Presiden Jokowi Hadiri Peringatan Hari Lahir ke-63 PMII:   Solo – Menteri Pertahanan Prabowo Subianto mewakili Presiden Joko Widodo menghadiri acara puncak peringatan Hari Lahir ke-63 Pergerakan Mahasiswa… via @kabar_tangsel https://t.co/y4If32GYki,0,1,Positive
bostambang_,@ganjarpranowo Ini jadi aku KK Kab. Semarang tapi lanjut SMA di ponpes * di beda kabupaten dan ponpesnya itu ijazah SMA nya pake PKBM setara paket C pak,0,0,Neutral
xeinaals,@Ganjaran_app @ganjarpranowo Jurus pemenangan pak Ganjar nihh,0,0,Neutral
nurahmad____cbx,Prabowo Unggah Momen Akrab Menteri Jokowi di Tasyakuran Kaesang-Erina - Detikcom #jokowi #prabowo #prabowosubianto https://t.co/XWwywR4QMX,0,1,Positive
goentz1,"""Hanya dari kalian, akan muncul tokoh-tokoh yang akan membawa Indonesia menuju kemakmuran,"" imbuhnya.

#KitaSemuaBersatu 
Prabowo Subianto",0,2,Positive
Mayapada0812,@Melpi72 @choymarkochoy @makhluk_62 @MuhiqR @abylio_sidiq @a_rogansi @PramukhtikoS @Okta_Roza @Dunianyasantai @DE_Sapta5 @_qaireen084 @NohCeukenohhh @AnKiiim_ @aniesbaswedan Makanya den bokep sebagai public figure harus jaga lisannya bong,0,0,Neutral
yuliaboe1,@Metro_TV @ganjarpranowo @aniesbaswedan Looh bukannya yang kompetisi itu Ganjar dan Prabowo? Anies mah ga masuk hitungan huahahahaha,1,0,Negative
blackadenium,"#GanjarBuatRIJauhLebihBaik
#PilihGanjarDemiKemajuanRI #SahabatGanjar #GanjarPranowo #Ganjar #MEnangkanGAnjar #GenerasiGotongRoyong https://t.co/uOC2p31zeI",0,0,Neutral
J4j4h4nAs3ng2,"@IrmansyahAdhy 2. 
PERPRES NOMOR 60 TAHUN 2020: 

""Pasal 81 berikut pasal lanjutannya 

membuka peluang dibangunnya kembali pulau-pulau artifisial itu, setelah sebelumnya dicabut oleh Anies Baswedan."" (Sabon)

https://t.co/onTyrisNDv

#SelamatkanAniesBubarkanKPK 
#SelamatkanAniesBubarkanKPK",0,0,Neutral
hapusingatanku,@Heraloebss @prabowo @aniesbaswedan @ganjarpranowo @jokowi Nunggu debat capres &amp; tim ekonomi yg dibawa pas kampanye... dr situ baru bisa milih mana yg sesuai kriteria...,0,2,Positive
JhonPandi118646,"@ch_chotimah2 @Munir_Timur @ganjarpranowo Mohon video ini sampaikan kepada orang tersebut., Kali aja setelah mekihat video saya ini urat malu nya dan kebodohan nya bisa berkurang walau sedikit.. https://t.co/cK0XqrmTQL",2,2,Neutral
ArthaArtha15,"@ch_chotimah2 @Munir_Timur @ganjarpranowo @aniesbaswedan @aniesbaswedan dengan APBD 300T selama 5thn
10.680.000x0,84% = (+) 89.712jiwa
@ganjarpranowo dengan APBD 126T selama 5thn
37.000.000x1,955%=(-)723.350 jiwa

@ganjarpranowo dengan APBD ± 250T selama 10thn:
37.000.000jiwax3,255%=(-)1.221.000jiwa",0,0,Neutral
variztelrooy,"@Gerindra Harus lah
Masa Bang Dahnil terus
Gimana orang bisa tau pikiran besar seorang Prabowo Subianto",0,1,Positive
goentz1,"Ia menyebut hal ini penting karena mereka adalah masa depan dan harapan bangsa Indonesia.

#KitaSemuaBersatu 
Prabowo Subianto https://t.co/iio5BN5Pr6",0,2,Positive
kacaspion__,@Metro_TV @ganjarpranowo @aniesbaswedan Yang bingung itu si Surya 🤣🤣🤣,1,0,Negative
goentz1,"Bonus demografi merupakan kondisi di mana penduduk produktif lebih banyak dibandingkan dengan usia tidak produktif. 

#KitaSemuaBersatu 
Prabowo Subianto",1,3,Positive
sarah_enjeuLL,"@PasaribuSaruhum @FerryNLangelo @aniesbaswedan Maklum....
Cu2 pahlawan lho😋🤣",0,1,Positive
InvestorID,Prabowo Subianto melayat ke rumah duka Desmond Mahesa https://t.co/lyYJLTIXEl,1,0,Negative
blackadenium,"#GanjarBuatRIJauhLebihBaik
#PilihGanjarDemiKemajuanRI #SahabatGanjar #GanjarPranowo #Ganjar #MEnangkanGAnjar #GenerasiGotongRoyong https://t.co/pWAKtXLclc",0,0,Neutral
ArthaArtha15,"@ch_chotimah2 @Munir_Timur @ganjarpranowo @aniesbaswedan @aniesbaswedan dengan APBD 300T selama 5thn
10.680.000x0,84% = (+) 89.712jiwa
@ganjarpranowo dengan APBD 126T selama 5thn
37.000.000x1,955%=(-)723.350 jiwa

@ganjarpranowo dengan APBD ± 250T selama 10thn:
37.000.000jiwax3,255%=(-)1.221.000jiwa",0,0,Neutral
MundziriAchmad,"@eddy_widodo_165 @PDI_Perjuangan @ganjarpranowo Jangan kecewakan mereka dg akomodasinya, sekali kecewa dibawa sepanjang jalan",2,0,Negative
IndiAmanda_,"@prabowo Sambutan Relawan Jokowi dan Gibran di Solo Hari ini.
Pak Prabowo bahkan sempat berbincang cukup lama disela-sela sambutan hangat tersebut.

#prabowo #prabowosubianto #Jawatengah #jokowi #jokowidodo #gibranrakabuming #dekade08 #mendingprabo...",1,2,Positive
GanjarPranowoo,"Kali ini, ada seorang bocah asal Nganjuk yang bikin calon presiden rambut putih itu geregetan didepan ribuan massa.

#MEnangkanGAnjar #GenerasiGotongRoyong #sahabatganjar #ganjarpranowo #ganjar https://t.co/j88PtjQELI",1,1,Neutral
ayulestarii8140,"@Ganjaran_app @ganjarpranowo Ayo kawan"" ramekan dan segerah dowlod ganjar app",0,1,Positive
budi11122233,"Yang model beginian mau memimpin negara, mana cocok!! Turu mase turu

#PrabowoSubianto #Prabowo #Prabowo2024 #TolakPrabowo https://t.co/QjVf2Kth4w",0,0,Neutral
heri_kriswandi,@marlina_idha @aniesbaswedan 😹😹😹,0,0,Neutral
BamsAlhea,@Joker_Wedoks @ganjarpranowo @Gus_Raharjo @_Umamlik @aan_muba @Aria_Manik @bams_1eng @DiniHrdianti @NgkongRoses @otnayram_me @RizkiR4madani @Cintada16 @siticeriaselalu @catatankaqihati @Ghurem2 @Miduk17 @WongKEDU_ Salam dr Nganjuk GP Menang Total.. 🤟🇮🇩🤟 https://t.co/UpFl3AUcuE,0,1,Positive
Jens_alfaqir,"@sarah_enjeuLL @aniesbaswedan Hahahah... Dongok lu ah

Emang tipikal cebong gini parah!! https://t.co/qX87FyAkXx",1,0,Negative
DRadjikin,"@Sibadogil14 @jokowi @prabowo @ganjarpranowo @puanmaharani_ri 
@PDI_Perjuangan 
@66Hasto",0,0,Neutral
haelamarie,Prabowo Subianto Kenang Perjuangan Desmond Besarkan Partai Gerindra - 20Detik #Prabowo #BangkitBersama https://t.co/4i4pDQf68k,0,1,Positive
HusainMechmari6,"@DokterTifa @aniesbaswedan @prabowo Di hati dan pikiran serta perasaan ku,cuman @aniesbaswedan presiden RI 2024,kalau untuk yg lain maaf bu dok,saya nggak punya perasaan lagi,apalagi hati dn pikiran ini susah banget untuk berpaling,.🤭😊🙏 https://t.co/5RX9x03Lop",2,4,Positive
f4thur77,@gtobing2903 @aniesbaswedan @ganjarpranowo @PDI_Perjuangan @MUIPusat @PKSejahtera Wkwkwkwk,0,0,Neutral
goentz1,"“Bangsa Indonesia kalau mau makmur dan sejahtera harus menguasai ilmu pengetahuan dan teknologi, harus menguasai _science_. 

#KitaSemuaBersatu 
Prabowo Subianto https://t.co/gRSTgLRIwl",0,1,Positive
HiJas81817843,@Cozillar_Reborn @Metro_TV @ganjarpranowo @aniesbaswedan Mantap tv nya 👍😂,0,1,Positive
