username,pesan,Negative Count,Positive Count,label
@Aroem_Aryo,"Adik kandung Prabowo, Hashim Djojohadikusumo, mengatakan bahwa istri Prabowo itu namanya Pertiwi, ""Ibu Pertiwi, negara ini"" sebagai gambaran bagaimana cinta Prabowo kepada Republik Indonesia. #PesanPrabowo #UntukAnakIndonesia #PrabowoNeruskePakdhe #PrabowoNjagaKerukunan",0,1,positif
@ekapuput88,Anies ahli dalam menyusun program dan menjalankan program tersebut.,0,1,positif
@bachrum_achmadi,"Sblmnya FE bahan mrk u/ nyinyirin & serang Anies. Skrg JIS bahan mrk u/ serang Anies.

Giliran KCJB janjinya tdk gunakan APBN, Kertajati tdk sesuai fungsi, Sirkuit Mandalika merugi, dll, diam membisu muncung mrk.

Mrk benar2 bani hipokrit! ",3,1,negatif
@Shintya_tsamara,"Kerja ga bs, jkt amburadul, cuma pinter bhs inggris doank byk di Indonesia, meningan jd guru bhs inggris aja si Anies lbh cocok",2,2,netral
@rudiabdedey,"Pertanyaannya,bagai mana cara buat poling agar Ganjar menang?
Masalah nya di ilc,pak Anies menang jauh
Sempak merah buat poling,pak Anies mng.
@ch_chotimah2
  buat jg pak Anies mng.
Bnyak yg lain jg buat,ttp pak Anies.
Sesekali buat dong pak Ganjar",1,1,netral
@YellyYellow5,"Mantap, gini-gini Pak Anies ahli dalam bidang pendidikan loh",0,1,positif
@GobangGoc,"Buat apa bus masuk ke situ? Itu jalur buat pejabat tinggi negara, bukan buat pemain. Sudah jelas diterangkan oleh 
@GeiszChalifah
 di acara ILC kok masih posting beginian?berarti benar kata 
@GeiszChalifah
 bahwa ribut soal JIS cuma drama utk mendowngrade Anies.",4,2,negatif
@putrisakera,"Anak Buah Jokowi kompak hingga Kader PSI Sebut JIS Tak Sesuai Standar FIFA.

Tanggapan Anies Santai : ""JIS bukan milik saya, tapi milik Indonesia karya anak bangsa. Jika mau di renovasi monggo"",",1,2,positif
@DokterTifa,"Ketika mas 
@aniesbaswedan
 Dalam kampanye Pilkada DKI Jakarta waktu itu, dengan yakin dan bersemangat akan bikin program Rumah DP 0%, kening saya berkerut dan dalam hati saya membatin:

Ah mana mungkin. Ngacok aja nih Anies.

But, a long the way, beberapa bulan ini saya sedang… Show more",1,3,positif
@MrDesperate1,"Kepada para buzzer, cebongers, 
@sahabatganjar
 , demi menghemat waktu, tenaga & duid negara, gimana klw kalian pilih juga Anies, utk wujudkan pilpres 1 putaran. Kalian bs lbh cepat kembali fokus mikirin biaya hidup kalian yg morat-marit.
Oke?",0,4,positif
@yumiiyummyy_,Pak Anies ahli komunikasi publik loh katanya,0,2,positif
@coozixl,Pak Anies ahli dalam berkomunikasi,0,1,positif
@purw73,"Anies Baswedan sang cucu pahlawan Nasional Indonesia membangun JIS u Persija , karya  % anak bangsa tanpa ngutang.",0,2,positif
@bachrum_achmadi,"Campakkan itu hsl survei berbayar. Kita belajar dr Pilkada DKI Jkrt sdh ckp sbgai fakta. Mknya mrk sngt kuatir Anies maju pilpres.

Dulu muncung para surveyor itu berlomba2 jagokan Ahok-Djarot. Bgitu Ahok-Djarot keok mrk ngeles macam2. 

Telek kebolah sama klen! ",1,2,positif
@Aroem_Aryo,"Sosok Prabowo Subianto itu seperti bengawan, yang mengalir hingga ke laut dan menghidupkan setiap makhluk yang dilaluinya. #PesanPrabowo #UntukAnakIndonesia #PrabowoNeruskePakdhe #PrabowoNjagaKerukunan",1,0,negatif
@fenjuls,Pak Anies ahli sebagai pemimpin karena pengalamannya,0,1,positif
@Rafiest,"Gue kalau jadi Anies, gue yang ngalah pasti.

Jaga pelanggan bos ",0,0,netral
@rudiabdedey,"Pertanyaannya,bagai mana cara buat poling agar Ganjar menang?
Masalah nya di ilc,pak Anies menang jauh
Sempak merah buat poling,pak Anies mng.
@ch_chotimah2
  buat jg pak Anies mng.
Bnyak yg lain jg buat,ttp pak Anies.
Sesekali buat dong pak Ganjar",1,1,netral
@HelmiFelis_,"Kalau ingin Indonesia seperti Prancis pilih CaPres yang diusung oleh Partai yang rasis seperti, you know kan? 

Kalo mau Indonesia seperti Ukraina pilih CaPres yang suka perang

Kalo ingin Indonesia berubah drastis seperti Qatar (mewah) tau kan? Anies Baswedan 

.",1,3,positif
@arkaatmaja7,"Perlombaan Ganjar dan Anies sudah pada tahap bikin negh.....bersaing menjadi tamu spesial Saudi itu sesuatu yg nggak masuk akal dan kekanak-kanakan, tragis disaat di Indonesia banyak ada masalah yg butuh narasi seorang capres",3,2,negatif
@mindfreaaak,hidup sprti prabowo,0,1,positif
@enermge,Anies tekun mengajari tanpa menggurui,0,1,positif
@GeiszChalifah,"Ribuan BuzzerRp sdh dikerahkan, pengamat abal2 juga sudah. Ada pula demo membawa bendera HMI yg saat ditanya LK dimana, malah bingung jawabnya. 
HMI MPO bodong juga sudah, Surveyer tipu2 juga sdh. Kini 3 Menteri plus kontraktor diturunkan. Hanya utk delegitimasi Anies Baswedan.",4,1,negatif
@xjrun,Anies ahli dalam memenangkan kepercayaan publik,0,3,positif
@tgh_009,"Nek aku cucoknya Anies AHY tpi mbuh, internal koalisi perubahan blom satu suara

Info A1",0,0,netral
@Hamdiirawan17,Hahaha jis mana bisa  penyefong Anies Baswedan menangis sekali,1,1,netral
@BubutMotor,Salahnya pak anies apa sih? Apa lu sakit hati gara2 jagoan lu kalah pilkada?,2,2,netral
@arkaatmaja7,"Perlombaan Ganjar dan Anies sudah pada tahap bikin negh.....bersaing menjadi tamu spesial Saudi itu sesuatu yg nggak masuk akal dan kekanak-kanakan, tragis disaat di Indonesia banyak ada masalah yg butuh narasi seorang capres",3,2,negatif
@salima252lagi,"Padjem itu kan pns di dki ya ? 

Dia skrg alergi sama anies 

Kalau post sok asik mulu berusaha sarkas. Sarkas nya lucu sebenarnya sayangnya dia buzzer si zulhas. Mentri problematik yg rekam jejaknya buruk 

Nah yg jd pertanyaan kekecewaan apa yg dia pendam krn ulah Pak abw",5,2,negatif
@MasRahmad121,"Telat pak ngasih polesan penghargaannya ...
Coba pas waktu anies msh menjabat Gub DKI bisa dibandingkan, kl skrg sdh terlalu nyolok polesannya ..

Faktanya ..
Waktu msh sama2 menjabat gub, hampir smua penghargaan diborong Anies krn emang prestasi nyata, bahkan ada yg dr LN .",3,3,netral
@blackathens11,"Entah percaya kalo EH beneran mau buat JIS bagus atau semua hal ttg Anies dibuat jelek. Entah JIS or nasdem. If yes, then wow",2,2,netral
@bachrum_achmadi,"Campakkan itu hsl survei berbayar. Kita belajar dr Pilkada DKI Jkrt sdh ckp sbgai fakta. Mknya mrk sngt kuatir Anies maju pilpres.

Dulu muncung para surveyor itu berlomba2 jagokan Ahok-Djarot. Bgitu Ahok-Djarot keok mrk ngeles macam2. 

Telek kebolah sama klen! ",1,2,positif
@enermge,Dari kecil emang Anies prestasi nya sudah bejibun,1,1,netral
@ch_chotimah2,"Membiarkan Nasdem dikabinet pdhl sdh mendukung Anies.
Membiarkan prabowo memanfaatkan nama dan fotonya pdhl partainya mencalonkan Ganjar.

Knp pak Jokowi melakukan itu?
Biar seluruh rakyat Indonesia tau betapa ga tau malunya lawan politik Jokowi selama ini, seperti dulu PAN, sdh… Show more",3,1,negatif
@BosPurwa,"Makasih Pak Jokowi, Pak Erick Thohir, Pak Dito yang sudah memulai lagi membicarakan JIS

Panjang cerita JIS ini sampai November nanti dan selama itu pula nama Anies Baswedan akan terus diangkat baik yang pro ato yang kontra. Bagus bukan?

Spesial untuk 
@Miduk17
, thanks ya :)",0,4,positif
@Abeng1204,Sebarkan. Biar buzer makin kejang2 lht anies semakin populer dgn karya2 nya ,0,1,positif
@anthwf77,"Terimakasih utk membuat elektabilitas anies makin jatuh dg rajin sebar berita bohong, anis memang gak pantas buat memimpin negeri ini ",1,2,positif
@chxores,"Banyak sekali prestasi Anies, dari mulai di bangku sekolah hingga menjadi gubernur",0,2,positif
@bianca01403,"Kucing tugasnya memerangi tikus2.

Di pemerintahan Jokowi gak gitu. Kucing merangkap tikus. Kalau ada yang masih asli kucing, diancam penjara atau dipecat dari jabatannya. Sudirman Said, Anies, RR adalah kucing2 bersih yang disingkirkannya

#JokowiMusuhRakyat 
#JokowiMusuhRakyat",4,0,negatif
@scraspe,Rekam jejak prestasi Anies tidak terbantahkan,2,1,negatif
@BosPurwa,"STOP bilang JIS adalah mahakarya Anies Baswedan, jangan lebay. Klo mau disebut mahakarya subjeknya adalah anak-anak bangsa bukan hanya Anies Baswedan.

Membuat proposal yang akhirnya dana investasi PEN turun bukan perkara mudah, termasuk merencanakan strategi pembangunanya!",5,0,negatif
@BosPurwa,"STOP bilang JIS adalah mahakarya Anies Baswedan, jangan lebay. Klo mau disebut mahakarya subjeknya adalah anak-anak bangsa bukan hanya Anies Baswedan.

Membuat proposal yang akhirnya dana investasi PEN turun bukan perkara mudah, termasuk merencanakan strategi pembangunanya!",5,0,negatif
@Algoritma67,"Ebong... Ngeles mulu, ga dikasih data bilang, JIS ga standar FIFA, dikasih data bilang, emangnya JIS punya Anies...

Yaah begitulah ebong, otak tdk pernah digunakan maksimal...

Yg penting nyerocos dulu... Urusan belakangan...",3,1,negatif
@arya_dhena,Kl gak bermanfaat gk perlu di renovasi tapi di bongkar di robohkan. Kerjaan mangkrak banyak dr anies,1,2,positif
@98garislurus,"Apa gue Kate... PDIP akan berada di persimpangan jalan kalau mengusung Gub. JaTeng.

PDIP usung Prabowo aja, di adu dgn Anies. Pilpresnya cukup satu putaran. Biaya Murah.",1,2,positif
@kolongmamat93,baru di capres kan saja anies sudah membuat negara menggelontor kan duit ratusan milyar bahkan triliun buat menjatuh kan nama nya...gmn nanti kalau anies udah sah sebagai peserta pemilu 2024????? gw yakin jkw dan jenderal jenderal pengkhianat yg stroke duluan,2,1,negatif
@NobowoNonowo,"Katanya Anies itu pecatan.
Katanya Anies itu pengangguran.

Kok pada kelojotan dan menyerbu Anies dgn segala kekuatan?

Hayoooo kenapaaaaa ",1,0,negatif
@fenjuls,"Quotes Anies mantap semua ya, sangat memotivasi #AniesMantap",0,3,positif
@baco_djafa11377,Pak Anies Baswedan memang titipan Allah SWT untuk perubahan Indonesia yang berkemajuan insyaallah,0,0,netral
@MasRahmad121,"Telat pak ngasih polesan penghargaannya ...
Coba pas waktu anies msh menjabat Gub DKI bisa dibandingkan, kl skrg sdh terlalu nyolok polesannya ..

Faktanya ..
Waktu msh sama2 menjabat gub, hampir smua penghargaan diborong Anies krn emang prestasi nyata, bahkan ada yg dr LN .",3,3,netral
@Minhyunqi,Pak Anies kompeten bgt di dunia pendidikan,0,1,positif
,"Masalah terbesar JIS itu diresmikan saat Anies masih aktif. Coba Anies mau bersabar sebentar, menunggu Heru menjabat, biar Jokowi yg resmikan. Bisa lain cerita.. :-)",1,2,positif
@faz_hrp,"Ouhh Ordal rupa nya, PantasLah ada Postingan sedikit Berbau Sentimen sama Pak Anies",0,0,netral
@sintaaeeyy,Pak Anies peka dan responsif sebagai seorang pemimpin.,0,1,positif
@Algoritma67,"Ebong... Ngeles mulu, ga dikasih data bilang, JIS ga standar FIFA, dikasih data bilang, emangnya JIS punya Anies...

Yaah begitulah ebong, otak tdk pernah digunakan maksimal...

Yg penting nyerocos dulu... Urusan belakangan...",3,1,negatif
@faz_hrp,"Ouhh Ordal rupa nya, PantasLah ada Postingan sedikit Berbau Sentimen sama Pak Anies",0,0,netral
@Kanseulir,"Kelen Mau Indonesia Seperti Apa? 
Jakarta? Pilih Anies! - Retweet
Jateng? Pilih Ganjar! - Like",0,2,positif
@peachyseokjinz,Pak Anies ahli deh kalo ngambil hati rakyatnya,0,2,positif
@xjnes,Anies peka dan responsif terhadap kondisi bangsa,0,1,positif
@Tery44117487,"Kwalitas gedung yg buruk tentu WAJIB di perbaiki.
Bukan soal gengsi tp TERMASUK MENUTUPI KEBODOHAN ANIES",4,0,negatif
@neckleot,Kalo adu prestasi Anies gak akan kalah sepertinya ya,3,2,negatif
@PasundanJunior,"Kalo ada penghargaan bertajuk politikus bunglon termunafik, Prabowo pasti juara!",0,1,positif
@xjnes,Banyak yg menilai Pak Anies ahli di bidang politik,1,2,positif
@namanyaima,Pak Anies ahli memotivasi anak muda,0,2,positif
@bachrum_achmadi,"PDIP Sebut Pembangunan JIS Agenda Kampanye Murahan Anies Baswedan.

Si Gilbert Simanjuntak ini sakit hati & dengkinya luar biasa ke Anies, kekalahan Ahok-Djarot benar2 menyiksanya.

Lupa dia GBK dipake kegiatan parpol mcm PDIP, lupa dia Kertajati tdk ssuai fungsinya! ",5,1,negatif
@poodiejeje,Pak Anies ahli loh dalam membuat banyak program transportasi,0,2,positif
@xjrun,Anies ahli dalam memenangkan kepercayaan publik,0,3,positif
,Anies peka akan kondisi pendidikan di Indonesia,0,1,positif
@Aroem_Aryo,"Filosofi hidup ini dihayati oleh Prabowo bukan baru sekarang kita dia berada di dalam pemerintahan, sudah sejak belia jadi pandangan hidupnya. #PesanPrabowo #UntukAnakIndonesia #PrabowoNeruskePakdhe #PrabowoNjagaKerukunan",1,1,netral
@mohamme72844721,Gak level bersanding dengan Anies Baswedan.,1,0,negatif
@HelmiFelis_,"Kok JIS tiba-tiba dipermasalahkan?

Apakah karena JIS tidak standart FIFA? Bukan

JIS bukan standart FIFA? Ya, JIS standart elektabilitas

Makanya rezim puyeng mau hapus jejak Anies di JIS 

Kita tonton saja kebodohan mereka dengan bangun narasi renovasi atau apapun itu 

.",9,0,negatif
@TeddGus,"Lu gak suka Prabowo, ya sudah, jangan Pilih nanti di TPS. Lu gak suka Ganjar, ya sudah, jangan pilih nanti di TPS. Lu gak suka Anies, ya sudah, jangan pilih nanti di TPS. Sesimpel itu.. 

Ada yang tanya ke gue, lalu kenapa anda sepertinya selalu menyerang salah satu bakal calon?… Show more",7,6,negatif
@peachyseokjinz,Pak Anies ahli deh kalo ngambil hati rakyatnya,0,2,positif
@bachrum_achmadi,"JIS itu trmsk stadion yg blm lama selesai, tp bangunan utamanya sdh selesai.

Klopun ada kekurangan infrastruktur wajar, apalagi skrg sdg on progress.

Tp klo JIS dicap tdk memenuhi standar, fix itu krn efek politik kebencian & kedengkian ke Anies! ",2,1,negatif
@ionredhotchili_,"Sebagai pemimpin yang handal, Pak Anies ahli membuat kebijakan publik yg adil.",0,1,positif
@salima252lagi,"Padjem itu kan pns di dki ya ? 

Dia skrg alergi sama anies 

Kalau post sok asik mulu berusaha sarkas. Sarkas nya lucu sebenarnya sayangnya dia buzzer si zulhas. Mentri problematik yg rekam jejaknya buruk 

Nah yg jd pertanyaan kekecewaan apa yg dia pendam krn ulah Pak abw",5,2,negatif
@nayasurethings,Untuk manajemen krisis tuh Pak Anies ahli loh,1,1,netral
@carboxcarbo,Pak Anies peka dengan kondisi Jakarta sebelum nya dan membawa perubahan setelahnya.,0,0,netral
@chxores,"Akomodasi di Jakarta tidak inklusif, pak anies peka untuk mengatasi nya",1,0,negatif
@MrDesperate1,"Kepada para buzzer, cebongers, 
@sahabatganjar
 , demi menghemat waktu, tenaga & duid negara, gimana klw kalian pilih juga Anies, utk wujudkan pilpres 1 putaran. Kalian bs lbh cepat kembali fokus mikirin biaya hidup kalian yg morat-marit.
Oke?",0,4,positif
@sintaaeeyy,"Sewaktu menjadi gubernur, pak Anies ahli memberikan fasilitas - fasilitas baru kepada rakyat nya.",0,1,positif
@fenjuls,"Quotes Anies mantap semua ya, sangat memotivasi #AniesMantap",0,3,positif
@abu_waras,"Jadi gini, nanti setiap apa yang sudah dibangun Anies akan dinyatakan tidak standar lalu dilakukan renovasi, setelah itu dilakukan gunting pita ulang agar terlihat bahwa bapak itulah yang menjadi sosok Bapak Pembangunannya. 
Iya engga sih?",1,1,netral
@vergrld,Pak Anies peka dan solutif banget ya dengan keluhan masyarakat,1,1,netral
@chxores,Katanya Anies sabar diturunkan dari ayah beliau,1,1,netral
@Hamdiirawan17,Hahaha jis mana bisa  penyefong Anies Baswedan menangis sekali,1,1,netral
@GardaGun,"Kenapa ya, yg benci Anies rata2 gen tulang lunak?! 
@Miduk17",1,0,negatif
@NobowoNonowo,"Katanya Anies itu pecatan.
Katanya Anies itu pengangguran.

Kok pada kelojotan dan menyerbu Anies dgn segala kekuatan?

Hayoooo kenapaaaaa ",1,0,negatif
@Rafiest,"Gue kalau jadi Anies, gue yang ngalah pasti.

Jaga pelanggan bos ",0,0,netral
@scraspe,Anies tekun berkiprah di dunia pendidikan,0,1,positif
@Aroem_Aryo,Obsesi Prabowo itu adalah menghadirkan kesejahteraan bagi seluruh rakyat Indonesia. #PesanPrabowo #UntukAnakIndonesia #PrabowoNeruskePakdhe #PrabowoNjagaKerukunan,1,0,negatif
@SimbolonBilma,"Daripada berdebat terus dan saling tuding antara kubu Anies dan Pemerintah tentang JIS, lebih baik PSSI tidak usah menawarkan JIS kepada FIFA jika dianggap tidak layak. Atau kedua belah pihak datangkan team independen untuk menilai apakah layak atau tidak untuk FIFA.",6,2,negatif
@ekapuput88,Anies ahli dalam menyusun program dan menjalankan program tersebut.,0,1,positif
@Shintya_tsamara,"Kerja ga bs, jkt amburadul, cuma pinter bhs inggris doank byk di Indonesia, meningan jd guru bhs inggris aja si Anies lbh cocok",2,2,netral
@condro84,"Halloo 
@TravelioSupport
 kejelasan apart kami gimana nih , saya menginap di semarang di apart candiland atas nama Heru Nasrudin ( Heo )tetapi gk ada kejelasan sampe sekarang gk bisa di hub mohon kejelasan nya 

Cc
@sandiuno
 
@Kemenparekraf",0,4,positif
@yumiiyummyy_,Pak Anies ahli komunikasi publik loh katanya,0,2,positif
@enermge,"Pak Anies ahli dalam memimpin loh, makanya beliau diajukan capres",0,1,positif
@98garislurus,"Apa gue Kate... PDIP akan berada di persimpangan jalan kalau mengusung Gub. JaTeng.

PDIP usung Prabowo aja, di adu dgn Anies. Pilpresnya cukup satu putaran. Biaya Murah.",1,2,positif
@raphi_saputra,"Unpopuler opinion.
Sbnernya JIS hmpir pasti kepake,cuma klo lsg dipake yg di untungkan Anies.Makanya di atur biar popularitas Anies ngga ikut terangkat gara2 JIS di pake.Kalo emg JIS ga layak, logikanya lsg tunjuk stadion lain aja yg standar FIFA. Ga muter2 cari cacat ksana kmari",3,0,negatif
@scraspe,Pak Anies ahli dan sangat responsif ya dengan permasalahan rakyat,0,3,positif
@BahrudinHm,"Si Uky ngarang, bela Anies dibilang nyembah.
Rata rata pendukung Anies cuma mengcounter cuitan gerombolan kalian yg tiada hari gak nyerang Anies.
Kalian juga kayaknya benci banget sama Anies, padahal Anies gak pernah nyubit kalian, apalagi bikin Miskin kalian. Eh... ",7,2,negatif
@TeddGus,"Lu gak suka Prabowo, ya sudah, jangan Pilih nanti di TPS. Lu gak suka Ganjar, ya sudah, jangan pilih nanti di TPS. Lu gak suka Anies, ya sudah, jangan pilih nanti di TPS. Sesimpel itu.. 

Ada yang tanya ke gue, lalu kenapa anda sepertinya selalu menyerang salah satu bakal calon?… Show more",7,6,negatif
@lenny1_rose,"ini kata2 SONGONG ato SOMBONG ,GAK layak jadi cawapres PAK ANIES, pak ANIES itu orangnya SANTUN ,berbanding terbalik dengan SONGONG dan SOMBONG",5,2,negatif
@98garislurus,"Apa gue Kate... PDIP akan berada di persimpangan jalan kalau mengusung Gub. JaTeng.

PDIP usung Prabowo aja, di adu dgn Anies. Pilpresnya cukup satu putaran. Biaya Murah.",1,2,positif
@enermge,Pak Anies peka dalam merespon masalah yg dihadapi warga,1,0,negatif
@mohamme72844721,Gak level bersanding dengan Anies Baswedan.,1,0,negatif
@YellyYellow5,"Mantap, gini-gini Pak Anies ahli dalam bidang pendidikan loh",0,1,positif
@wonteod,"Anies ahli dalam memimpin, siap mencalonkan diri menjadi capres.",0,2,positif
@enermge,Anies tekun mengajari tanpa menggurui,0,1,positif
@jazyxyrus,"ini fanatik2 anies sampe rela berantem sama banyak akun2 netral demi belain JIS..

fanatik pemerintah juga gobloq, malah keluarin statement kalo JIS ini gagal secara berlebihan.. 

JIS tidak sesempurna yang dibilang fanatik anies
JIS tidak seancur yang dibilang fanatik pemerintah",6,1,negatif
@Raju89755360,"Alhamdulillah.......

Calon Presiden Indonesia terbaik hubungan Internasional nya luar biasa.

Bismillahirrahmanirrahim
Semoga Allah SWT. Meridhoi Bapak Anies Rasyid Baswedan menjadi Presiden Indonesia.

Aamiin Yaa Robbal'alamiin",0,3,positif
@enermge,"Pak Anies ahli dalam memimpin loh, makanya beliau diajukan capres",0,1,positif
@BuswayAnies,"Sama aja kaya oknum isilop nyalain strobo di saat macet, padahal ga ada urgensinya. Sumpah silau banget klo kita di belakangnya, mana lampunya kedap kedip kan.",3,1,negatif
@perkasaalam_md,"Ga ada bersyukurnya rezim koplak ini emang, etapi bisa aja dibikin alasan buat cari cuan dari APBN buat modal kampanye, selain tentunya jadiin Anies Baswedan kambing hitam",3,1,negatif
@variztelrooy,"Fans Anies Baswedan gausah heboh
Ada Ganjar ama Puan juga kog di situ",0,0,netral
@chxores,"Akomodasi di Jakarta tidak inklusif, pak anies peka untuk mengatasi nya",1,0,negatif
@bachrum_achmadi,"Sblmnya FE bahan mrk u/ nyinyirin & serang Anies. Skrg JIS bahan mrk u/ serang Anies.

Giliran KCJB janjinya tdk gunakan APBN, Kertajati tdk sesuai fungsi, Sirkuit Mandalika merugi, dll, diam membisu muncung mrk.

Mrk benar2 bani hipokrit! ",3,1,negatif
@Jimilbaryatiha1,"Kata Anies ada jogging track di atap JIS, kata FIFA, JIS tdk layak untuk pertandingan bola bagi klub-klub yg bernaung di bawah FIFA, tapi kadrun percaya Anies dibandingkan FIFA...",0,2,positif
@rdprasetyo_a,"Lha kalian tanya sama yg punya situs. Jangan nnti kalian tarik tarik ke ranah jegal anies ya . Klo menurut sy, buro happold risi karena tembok pembatas ambrol waktu ada pertandingan...",2,0,negatif
@Kanseulir,"Kelen Mau Indonesia Seperti Apa? 
Jakarta? Pilih Anies! - Retweet
Jateng? Pilih Ganjar! - Like",0,2,positif
@an15wn,Berarti followernya Pak Kapolri mayoritas pendukung Pak Anies. ,0,0,netral
@PutroLawu7,"Begitu juga dengan pak anies semoga setelah berhaji meninggalkan tabiat buruk yg hobi ngibul, jangan lg se indonesia di kibulin.
Insyaflah sdh haji pak anies, jangan suka ngibul, itu dosa besar.",4,2,negatif
@Abeng1204,Sebarkan. Biar buzer makin kejang2 lht anies semakin populer dgn karya2 nya ,0,1,positif
@coozixl,Prestasi Anies sewaktu menjadi gubernur tidak sedikit.,1,1,netral
@WinnerWave_,Surya Tjandra ini mantan PSI kan ya. terlibat juga di reklamasi kalo ngga salah. sekarang jadi jubir Anies ya. hehehe jadi ketauan Anies didukung siapa dibelakangnya. 9 naga tuh,1,0,negatif
@Raju89755360,"Alhamdulillah.......

Calon Presiden Indonesia terbaik hubungan Internasional nya luar biasa.

Bismillahirrahmanirrahim
Semoga Allah SWT. Meridhoi Bapak Anies Rasyid Baswedan menjadi Presiden Indonesia.

Aamiin Yaa Robbal'alamiin",0,3,positif
@lenny1_rose,"ini kata2 SONGONG ato SOMBONG ,GAK layak jadi cawapres PAK ANIES, pak ANIES itu orangnya SANTUN ,berbanding terbalik dengan SONGONG dan SOMBONG",5,2,negatif
@scraspe,Anies tekun berkiprah di dunia pendidikan,0,1,positif
